A			Unua litero de la esperanta kaj de aliaj alfabetoj.						
Akra	Komparu			Akuta					
Akrido	Zoologio	Pachytylus migratorius, acrididae	Insekto, detruanta la grenojn						
Akrobato			Cirka gimnastika artisto						
Akso			Reala aŭ imagata rekta linio, ĉirkaŭ kiu turniĝas korpo	akso de la tera globo	akso de rado				
Akso			Centra linio	akso de floro	akso de vojo				
Akselo	Anatomio		Kavo sub la artiko de la ŝultro kaj brako						
Aksiomo			Vero senduba, ne bezonanta pruvon	Du nombroj, kiuj egalas trian, egalas unu la alian					
Akto			Parto de dramo, de komedio	Aktoj estas dividataj en scenojn					
Akto			Oficiala dokumento, atestanta fakton	akto pri la naskiĝo					
Aktivo			Formo de la transitivaj verboj, esprimanta agon	La patro amas la filon, la filo estas amata de la patro; 'amas' estas formo de l' aktivo, 'amata' de l' pasivo					
Aktivo			Positiva parto de propraĵo	La kompanio ne bankrotis, kvankam ĝiaj pasivoj preskaŭ egalis la aktivojn					
Aktiva			Kiu apartenas al la aktiva formo de la verbo	La aktiva formo estas pli ofte uzata, ol la pasiva					
Aktiva			Kiu prezentas la pozitivan parton de propraĵo	aktivaj sumoj de bilanco					
Aktiva			Agema	Aktiva homo neniam restas senokupa					
Aktoro			Artisto, ludanta rolon en drama spektaklo						
Aktuala			Efektive ekzistanta en la nuna tempo kaj samtempe grava, interesa						
Aktualaĵo			Io aktuala						
Aktualeco			Eco de tio, kio estas aktuala						
Akumulatoro			Elektra baterio, amasiganta provizon de la elektro	Aŭtomobilo, movata de akumulatoroj					
Akurata			Kiu plenumas je la interkonsentita tempo	akurata tajloro					
Akurata			Kiu venas je la interkonsentita horo						
Akurateco			Eco de tiu, kiu estas akurata						
Akustiko			Parto de la fiziko, pri la sonoj						
Akuŝi			Eligi maturan feton	La patrino feliĉe akuŝis belan knabon					
Akuŝi			Tre malfacile fari, verki ion	Fine li akuŝis sian disertacion					
Akuŝo			Ago de tiu, kiu akuŝas						
Akuŝisto			Kuracisto, kies specialo estas helpi la akuŝojn						
Akuŝantino			Virino, kiu akuŝas						
Akuta			Nelongedaŭra, akompanata de fortaj simptomoj (pri la malsanoj)	akuta kataro					
Akuta	Komparu			Akra					
Akuzi			Proklami ies kulpon, krimon	akuzi iun pri ŝtelo	akuzi iun pri malnobleco				
Akuzo			Ago, vortoj de tiu, kiu akuzas						
Akuzativo			Kazo, kies finiĝo estas n.						
Akvo		H2O	Komponaĵo de oksigeno kaj hidrogeno; fluidaĵo, kovranta tri kvaronojn de la tero (maroj, lagoj, riveroj)						
Akva			Konsistanta el akvo	akva solvaĵo					
Akva			Vivanta en akvo	akva vegetaĵo					
Akvofalo			Akvoj de rivero, lago, k. t. p., falantaj de supre	la Niagara akvofalo					
Akvomelono			Speco de melono kun ruĝa molaĵo						
Superakvego			Tre granda kvanto da akvo						
Superakvego			La ĝenerala subakvigo de la tero, laŭ la biblio	Noaho kaj lia familio estis la solaj homaj estaĵoj, kiuj sin savis de la superakvego					
Akvaforto			Desegnaĵo, ĥemie farita sur kupro						
Akvarelo			Pentraĵo, farita per farboj solvitaj en akvo						
Akvarelisto			Pentristo de akvareloj						
Akvario			Akvujo por kulturi vegetaĵojn kaj fiŝojn						
